ui_number,ffl_number,ffl_type,ffl_proprietor,ffl_proprietor_2,ffl_address,ffl_city,ffl_state,ffl_zip,ffl_county,inspection_assign_date,inspection_complete_date,revocation_effective_date,final_disposition,revocation_warranted,violations,report_url
766020-2016-0365-B1B,8-23-101-01-9M-01580,Dealer,"Lock, Virginia T",Lock's Phila. Gun Exchange,6700 Rowland Ave,Philadelphia,PA,19149,Philadelphia,2016-08-29,2017-05-17,,Warning letter,Y,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/766020-2016-0365-B1B.pdf
782050-2017-0062-B1B,5-76-201-07-7J-03149,Manufacturer,Barmg Enterprises LLC,Gulf Coast Firearms,2235 Rollig Glen Drive,Spring,TX,77373,Harris,2016-11-10,2017-05-12,,Warning letter,N,"478.21(a), 478.124(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.125(e), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/782050-2017-0062-B1B.pdf
766060-2016-0147-B1B,8-25-121-01-1B-02676,Dealer,"Maurer's Trading Post, Inc.",,1696 Pittsburgh Road,Franklin,PA,16323,Venango,2015-10-01,2015-11-30,,Warning letter,Y,"478.124(c)(1), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/766060-2016-0147-B1B.pdf
784060-2016-0085-B1B,9-33-071-07-6B-04728,Manufacturer,"Guns, Ammo And Accessories, Inc.",G A A,11324 Greenwood Way,Ontario,CA,91762,San Bernardino,2015-12-22,2016-06-22,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.126a, 478.123(a), 479.105(a), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/784060-2016-0085-B1B.pdf
777040-2015-0468-B1B,5-72-055-01-7G-14553,Dealer,"Barfield, Gainer Eugene",Gene's Gun Repair,311 Estainville Ave,Lafayette,LA,70508,Lafayette Parish,2015-08-17,2015-11-02,,Warning letter,N,"478.21(a), 478.124(c)(4), 478.124(c)(5), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/777040-2015-0468-B1B.pdf
781050-2016-0144-B1B,5-73-133-02-6L-03365,Pawnbroker,"Attic Antiques, Inc.",Wewoka St Pawn Gold & Motors,420 S. Wewoka,Wewoka,OK,74884,Seminole,2015-12-14,2016-09-12,,Warning letter,N,"478.125(e), 478.124(c)(5), 478.126a, 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/781050-2016-0144-B1B.pdf
776070-2015-0238-B1B,1-62-145-07-6M-04956,Manufacturer,"Dresner, Michael Jacob",Law Enforcement Sales,203 W Southwood LN,Oak Ridge,TN,37830,Roane,2015-07-02,2015-09-04,,Warning letter,N,"478.21(a), 478.126a, 478.123(d), 478.92(a)(1)(ii)(C), 478.123(a), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/776070-2015-0238-B1B.pdf
763050-2015-0405-B1B,1-56-059-01-8G-03057,Dealer,Bonafide Gunsmithing,,518 Junction Road,Mocksville,NC,27028,Davie,2015-09-15,2015-11-02,,Warning letter,N,"478.50, 478.121(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/763050-2015-0405-B1B.pdf
773030-2016-0653-B1B,4-34-103-01-7M-03530,Dealer,High Speed Low Drag LLC,,2194 Muntz Road,Valley City,OH,44280,Medina,2016-07-19,2016-08-31,,Warning letter,N,"478.124(c)(1), 478.102(a), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0653-B1B.pdf
777070-2016-0157-B1B,1-64-149-01-7D-00514,Dealer,"Firearms Outfitter, Inc.",,940 Hwy 61 N,Vicksburg,MS,39183,Warren,2016-02-18,2016-09-07,,Warning letter,N,"478.126a, 478.99(a)",https://atf-inspection-reports.s3.amazonaws.com/777070-2016-0157-B1B.pdf
775060-2016-0168-B1B,4-55-083-01-8G-02397,Dealer,Elza's Cycle And Atv LLC,Elza's Cycle And Atv,1023 Beverly Pike,Elkins,WV,26241,Randolph,2016-03-01,2016-05-05,,Warning letter,N,"478.21, 478.124(c)(1), 478.99(c)",https://atf-inspection-reports.s3.amazonaws.com/775060-2016-0168-B1B.pdf
760530-2016-0030-B1B,1-58-135-01-6A-08567,Dealer,"JV & M Group, Inc.",Mainstreet Guns And Range,405 Killian Hill Road,Lilburn,GA,30047,Gwinnett,2015-10-16,2016-09-21,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.124(c)(3)(iv), 478.102(a)(2)(ii), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760530-2016-0030-B1B.pdf
773015-2016-0025-B1B,4-31-021-07-7H-03451,Manufacturer,"Heartland Ranch, LLC",,26 South Sycamore Street,North Lewisburg,OH,43060,Champaign,2015-10-01,2016-01-12,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.99(c), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0025-B1B.pdf
778025-2017-0158-B1B,3-39-025-07-8G-05741,Manufacturer,Precision Tactical Firearms LLC,,47 Glacier Edge Square,Cross Plains,WI,53528,Dane,2016-10-03,2017-01-18,,Warning letter,N,478.123(d),https://atf-inspection-reports.s3.amazonaws.com/778025-2017-0158-B1B.pdf
768035-2016-0101-B1B,1-54-041-07-9J-04237,Manufacturer,"Dominion Shooting Range, Inc.",,106 Turner Road,Richmond,VA,23225,Chesterfield,2016-08-15,2016-09-29,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.99(a), 478.123(a), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/768035-2016-0101-B1B.pdf
777040-2016-0357-B1B,5-72-071-01-8B-02974,Dealer,"Professional Sport Shop, Inc",,920 Julia St,New Orleans,LA,70113,Orleans Parish,2016-04-28,2016-07-01,,Warning letter,N,"478.125(e), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/777040-2016-0357-B1B.pdf
781085-2017-0176-B1B,5-75-085-01-8K-07643,Dealer,Front Sight Firearms Inc,,1925 North Central Expressway #410,Mckinney,TX,75070,Collin,2017-01-27,2017-05-11,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.102(a)(2)(ii), 478.126a, 478.131(a)(2), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/781085-2017-0176-B1B.pdf
781080-2016-0248-B1B,5-75-439-02-7D-05743,Pawnbroker,"Ace Jewelry & Loan, Inc.",,4750 E. Belknap,Haltom City,TX,76117,Tarrant,2016-02-22,2016-05-27,,Warning letter,N,"478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/781080-2016-0248-B1B.pdf
787050-2016-0421-B1B,9-91-061-07-8B-02895,Manufacturer,"Miller, William Franklin Jr",Cascade Arsenal,218 13th Street,Snohomish,WA,98290,Snohomish,2016-06-24,2017-02-03,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.123(a), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/787050-2016-0421-B1B.pdf
778025-2016-0141-B1B,3-39-105-01-6J-04502,Dealer,William A Steinborn,Bill's Gun Shop,4710 Twelve Oaks Drive,Milton,WI,53563,Rock,2015-10-01,2016-03-03,,Warning conference,N,"478.41(a), 478.124(c)(1), 478.124(a), 478.124(c)(4), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/778025-2016-0141-B1B.pdf
781080-2016-0046-B1B,5-75-049-01-6A-15634,Dealer,Jerry Douglas Traylor,Jerrys Guns,6500 Co Un Ty Road 190,Brownwood,TX,76801,Brown,2015-10-01,2016-06-21,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/781080-2016-0046-B1B.pdf
763025-2017-0311-B1B,1-56-159-07-8K-07858,Manufacturer,"Melvin, Larry David",Melvin Gunsmithing,4809 Lancaster Hwy,Monroe,NC,28112,Union,2017-04-27,2017-06-09,,Warning letter,N,"478.102, 478.126a, 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/763025-2017-0311-B1B.pdf
763025-2015-0384-B1B,1-56-119-02-5G-04784,Pawnbroker,"Memories Auction & Pawn, LLC",Memories Pawn Shop,20015 N. Main St.,Cornelius,NC,28031,Mecklenburg,2015-08-13,2015-09-03,,Warning letter,N,"478.124(c)(1), 478.21(a), 478.124(c)(4), 478.102(a)(1)",https://atf-inspection-reports.s3.amazonaws.com/763025-2015-0384-B1B.pdf
782065-2016-0104-B1B,5-74-027-07-8E-05377,Manufacturer,"Gray, Curtis Wayne",Yellow Jacket Arms,9919 Lower Troy Road,Troy,TX,76579,Bell,2015-10-05,2016-09-28,,Warning letter,N,"478.123(d), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(4), 478.124(c)(5), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/782065-2016-0104-B1B.pdf
776070-2017-0025-B1B,1-62-009-01-1F-16989,Dealer,Bowen Classic Arms Corp.,,3512 Old Lowes Ferry Rd,Louisville,TN,37777,Blount,2016-10-02,2017-04-25,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.21(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/776070-2017-0025-B1B.pdf
787050-2017-0355-B1B,9-91-035-01-0D-14146,Dealer,"Farman, Bruce G",,2563 NE WM E Sutton Road,Bremerton,WA,98311,Kitsap,2017-04-11,2017-05-02,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/787050-2017-0355-B1B.pdf
760555-2017-0148-B1B,1-58-185-01-8B-05172,Dealer,"Metts, Robert C",,9682 Ga Hwy 135,Naylor,GA,31641,Lowndes,2017-02-07,2017-03-21,,Warning letter,N,"478.102(a)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/760555-2017-0148-B1B.pdf
777060-2015-0277-B1B,5-71-119-02-7G-03285,Pawnbroker,ipawn Arkansas Inc.,ipawn Little Rock,11108 N. Rodney Parham Rd.,Little Rock,AR,72212,Pulaski,2015-04-22,2016-01-15,,Warning conference,Y,"478.125(e), 478.124(c)(1), 478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.124(a), 478.102(a), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/777060-2015-0277-B1B.pdf
784050-2017-0132-B1B,9-33-073-01-7M-04127,Dealer,"Keys & Engraving, Inc.",Engraving Pros,"5500 Grossmont Center Dr., Ste. 163",La Mesa,CA,91942,San Diego,2017-02-07,2017-04-12,,Warning letter,N,"478.125(e), 478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.103(a)",https://atf-inspection-reports.s3.amazonaws.com/784050-2017-0132-B1B.pdf
777070-2017-0013-B1B,1-64-105-01-7J-02867,Dealer,"Security Solutions & Communications, Inc.",,901 Lynn Lane,Starkville,MS,39759,Oktibbeha,2016-10-05,2017-08-31,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/777070-2017-0013-B1B.pdf
773015-2016-0180-B1B,4-31-025-01-8M-00963,Dealer,Russ Whitley,Arcade Antiques,408 S Main,Bethel,OH,45106,Clermont,2015-11-06,2017-03-22,2017-05-15,Revocation/denial of renewal,Y,"478.21(a), 478.39a, 478.50(a), 478.94, 478.99(a), 478.99(c), 478.102(a), 478.121(a), 478.121(b), 478.121(c), 478.124(a), 478.124(b), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.125(e), 478.125a, 478.126a, 478.128(c), 478.129(b), 479.31(a)",https://atf-inspection-reports.s3.amazonaws.com/773015-2016-0180-B1B.pdf
773015-2015-0550-B1B,4-31-089-01-8H-03865,Dealer,Red Castle Armory LLC,,5280 Pleasant Valley Road,Nashport,OH,43830,Muskingum,2015-08-14,2015-10-13,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/773015-2015-0550-B1B.pdf
760530-2017-0026-B1B,1-58-189-02-7G-07078,Pawnbroker,"Pawn Shoppe Of Thomson, LLC, The",,645 Cobbham Rd.,Thomson,GA,30824,Mcduffie,2016-10-14,2017-03-30,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.41(a)",https://atf-inspection-reports.s3.amazonaws.com/760530-2017-0026-B1B.pdf
765060-2016-0074-B1B,6-13-061-08-7F-34244,Importer,Holland & Holland SWL,H & H,"10 East 40th St, Suite 1910",New York,NY,10016,New York,2015-10-01,2016-08-24,,Warning letter,N,"478.125(e), 478.102(c)",https://atf-inspection-reports.s3.amazonaws.com/765060-2016-0074-B1B.pdf
764075-2016-0081-B1B,1-59-111-07-6B-21132,Manufacturer,Bza Investment Inc,The Tactical Store,6652 South US Highway 1,Port St Lucie,FL,34984,St. Lucie,2015-11-27,2016-06-28,,Warning letter,N,478.123(b),https://atf-inspection-reports.s3.amazonaws.com/764075-2016-0081-B1B.pdf
773015-2017-0326-B1B,4-31-049-01-9J-04502,Dealer,"Pholovac Laser Corporation, Inc.",,3513 Farm Bank Way,Grove City,OH,43123,Franklin,2017-01-10,2017-02-03,,Warning letter,N,"478.21(a), 478.124(c)(1)",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0326-B1B.pdf
766085-2017-0070-B1B,8-23-001-01-8M-22577,Dealer,"Nace, William E.",Nace Sports,3381 Hunterstown Hampton Rd.,New Oxford,PA,17350,Adams,2016-11-08,2017-05-17,,Warning conference,Y,"478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/766085-2017-0070-B1B.pdf
782110-2017-0217-B1B,5-74-469-07-8A-03555,Manufacturer,LMS Firearms LLC,,208 Taos Dr,Victoria,TX,77904,Victoria,2017-02-14,2017-03-10,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.129(b), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0217-B1B.pdf
763050-2017-0132-B1B,1-56-143-01-9M-43886,Dealer,"W S Winslow, Inc.",,1208 Sandy Cross Rd.,Belvidere,NC,27919,Perquimans,2016-12-06,2017-04-20,,Warning letter,N,"478.125(e), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5), 478.102(c), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/763050-2017-0132-B1B.pdf
773030-2016-0083-B1B,4-34-007-01-6L-02205,Dealer,"Locher, Dale Allan",Lock Stock And Barrel,4393 Middle Road,Conneaut,OH,44030,Ashtabula,2015-10-08,2015-11-23,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/773030-2016-0083-B1B.pdf
788060-2017-0154-B1B,9-81-081-07-7K-02085,Manufacturer,Bitterroot Tool & Machine Inc.,,497 Airport Rd,Stevensville,MT,59870,Ravalli,2017-01-19,2017-03-27,,Warning letter,N,"478.123(a), 478.123(b), 478.124(c)(1), 478.131(a)(2), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/788060-2017-0154-B1B.pdf
773015-2017-0333-B1B,4-31-127-01-9G-01001,Dealer,"Mickler, Larry W",,4968 Sr 13 SE,Corning,OH,43730,Perry,2017-01-10,2017-05-17,,Warning letter,N,"478.124(c)(1), 478.126a, 478.125(e), 478.39a",https://atf-inspection-reports.s3.amazonaws.com/773015-2017-0333-B1B.pdf
782110-2016-0297-B1B,5-74-025-01-8F-02288,Dealer,"Hurst, Ernest Edward Jr",C C R Shop,2001 N Frontage Rd,Beeville,TX,78102,Bee,2016-05-11,2016-07-05,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(iv), 478.102(a), 478.124(a), 478.129(b), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0297-B1B.pdf
782110-2017-0316-B1B,5-74-479-02-8A-38978,Pawnbroker,Texas Ezpawn LP,Ezpawn,208 Bob Bullock Loop,Laredo,TX,78043,Webb,2017-04-17,2017-05-03,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.129(b)",https://atf-inspection-reports.s3.amazonaws.com/782110-2017-0316-B1B.pdf
779055-2017-0371-B1B,5-43-186-02-8L-10324,Pawnbroker,"Kuenzel, Timothy A",Doc's Exchange,380 Sainte Genevieve Drive,Sainte Genevieve,MO,63670,Ste. Genevieve,2017-05-11,2017-06-30,,Warning letter,N,"478.126a, 478.125(e), 478.124(c)(5), 478.21(a), 478.124(c)(3)(iv), 478.124(c)(3)(i)",https://atf-inspection-reports.s3.amazonaws.com/779055-2017-0371-B1B.pdf
777040-2017-0233-B1B,5-72-063-01-7C-00608,Dealer,Wal-mart Louisiana LLC,Wal-mart Supercenter #2822,28270 Walker South,Walker,LA,70785,Livingston Parish,2017-01-10,2017-03-30,,Warning letter,N,478.102(a),https://atf-inspection-reports.s3.amazonaws.com/777040-2017-0233-B1B.pdf
779025-2016-0141-B1B,5-48-169-01-7J-15904,Dealer,Cleve's Marine & Sporting Goods Inc,,136 S Broadway,Salina,KS,67401,Saline,2015-10-04,2017-02-10,,Warning letter,N,"478.125(e), 478.124(c)(4), 478.124(c)(1), 478.21(a), 478.124(c)(5), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/779025-2016-0141-B1B.pdf
772060-2017-0250-B1B,3-37-041-01-0C-36255,Dealer,"Jones, Kent Russell",Jones Guns & Ammo,210 E Daggy St,Tuscola,IL,61953,Douglas,2017-03-29,2017-05-24,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/772060-2017-0250-B1B.pdf
762055-2016-0158-B1B,6-04-013-07-8M-06923,Manufacturer,Fountain Plating Co Inc,,492 Prospect Avenue,West Springfield,MA,01089,Hampden,2015-12-11,2017-02-21,,Warning conference,N,"478.58, 478.92(a)(1)(i), 478.92(a)(1)(ii), 478.102(a), 478.124(c)(3)(iv), 478.124(c)(4), 478.126a, 478.129, 478.123(a), 478.123(b)",https://atf-inspection-reports.s3.amazonaws.com/762055-2016-0158-B1B.pdf
772085-2016-0110-B1B,4-35-087-01-6L-09613,Dealer,"Bateman, Jerry E.",Bateman's Gun Shop,7545 E. 750 N.,Howe,IN,46746,Lagrange,2016-01-11,2016-06-29,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(4), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/772085-2016-0110-B1B.pdf
773015-2015-0523-B1B,4-31-049-01-7M-33875,Dealer,"Lowe, Brett",Brett's Gun Shop,4525 Parsons Avenue,Columbus,OH,43207,Franklin,2015-07-23,2015-08-05,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(iv), 478.124(c)(5), 478.21(a)",https://atf-inspection-reports.s3.amazonaws.com/773015-2015-0523-B1B.pdf
782075-2017-0087-B1B,5-76-201-01-8H-02404,Dealer,Asc Owners Group LLC,American Shooting Centers,16500 Westheimer Pkwy,Houston,TX,77082,Harris,2016-10-13,2017-04-27,,Warning letter,N,"478.21(a), 478.124(c)(5), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/782075-2017-0087-B1B.pdf
761025-2016-0089-B1B,8-52-021-01-8J-03029,Dealer,John Dehn,Gutters For Less,9615 Liberty Rd,Frederick,MD,21701,Frederick,2015-12-04,2016-04-29,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/761025-2016-0089-B1B.pdf
781085-2017-0330-B1B,5-75-113-01-9B-93110,Dealer,"Box, Thomas D",,11909 Preston Suite 290,Dallas,TX,75230,Dallas,2017-06-06,2017-07-10,,Warning letter,N,"478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.125(e), 478.102(a)",https://atf-inspection-reports.s3.amazonaws.com/781085-2017-0330-B1B.pdf
778025-2016-0380-B1B,3-39-101-01-7E-35730,Dealer,Russell Milner,,3510 River Bend Drive,Racine,WI,53404,Racine,2016-05-20,2016-09-29,,Warning letter,N,478.126a,https://atf-inspection-reports.s3.amazonaws.com/778025-2016-0380-B1B.pdf
781085-2016-0182-B1B,5-75-113-02-6K-40175,Pawnbroker,Classic Financial Inc Of Texas,Metro Jewelry And Pawn,1906 South First Street,Garland,TX,75040,Dallas,2016-01-05,2016-03-15,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(4), 478.124(c)(5)",https://atf-inspection-reports.s3.amazonaws.com/781085-2016-0182-B1B.pdf
776085-2016-0078-B1B,1-63-113-02-8G-01220,Pawnbroker,Uptown Pawn Shop Inc,Uptown Jewelry & Pawn,1509 3rd Ave,Phenix City,AL,36867,Russell,2015-10-01,2016-01-07,,Warning letter,N,"478.39a, 478.124(c)(1), 478.99(c)",https://atf-inspection-reports.s3.amazonaws.com/776085-2016-0078-B1B.pdf
778025-2017-0189-B1B,3-39-025-01-9E-11452,Dealer,"Bcrgholz, Thomas & Julie",,215 W Main Street,Marshall,WI,53559,Dane,2016-10-03,2017-02-15,,Warning letter,N,478.125(e),https://atf-inspection-reports.s3.amazonaws.com/778025-2017-0189-B1B.pdf
763050-2017-0164-B1B,1-56-197-01-9E-03462,Dealer,"Yqh, Inc.",Yadkinville Quality Hardware,945 South State,Yadkinville,NC,27055,Yadkin,2016-12-20,2017-04-13,,Warning letter,N,"478.124(c)(1), 478.124(c)(3)(i), 478.131(a)(2)",https://atf-inspection-reports.s3.amazonaws.com/763050-2017-0164-B1B.pdf
788070-2017-0102-B1B,5-84-014-07-9J-05035,Manufacturer,Price Precision Parts LLC,,11900 Upham St,Broomfield,CO,80020,Broomfield,2016-12-05,2017-04-20,,Warning letter,Y,"478.123(a), 478.123(d)",https://atf-inspection-reports.s3.amazonaws.com/788070-2017-0102-B1B.pdf
785055-2016-0160-B1B,5-85-009-01-7H-02179,Dealer,"Fite, Dustin",Crosshair's Gunshop,506 W 7th St,Clovis,NM,88101,Curry,2016-06-27,2017-02-15,,Revocation/denial of renewal,Y,478.52(a),https://atf-inspection-reports.s3.amazonaws.com/785055-2016-0160-B1B.pdf
779075-2017-0058-B1B,5-43-037-01-9J-11345,Dealer,Api Investors LLC,Sporting Supply,1700 W Mechanic St,Harrisonville,MO,64701,Cass,2016-10-03,2017-02-15,,Warning letter,N,"478.124(c)(1), 478.99(a), 478.99(c), 478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/779075-2017-0058-B1B.pdf
779075-2017-0091-B1B,5-43-047-01-7F-01432,Dealer,Great Guns Inc,Great Guns Inc,"1780 N Church Road, Suite A",Liberty,MO,64068,Clay,2016-10-03,2017-04-17,,Warning letter,N,"478.121(c), 478.102(c), 478.99(a), 478.96(c)(1)(iv), 478.124(c)(1), 478.126a, 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/779075-2017-0091-B1B.pdf
763025-2015-0358-B1B,1-56-097-02-6J-05628,Pawnbroker,Statesville Jewelry & Loan Co,Troutman Jewelry & Loan,265a North Main St,Troutman,NC,28166,Iredell,2015-07-13,2015-11-02,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/763025-2015-0358-B1B.pdf
781025-2017-0033-B1B,5-75-459-07-8H-07579,Manufacturer,Kammler Works LLC,,11172 FM 1650,Gilmer,TX,75645,Upshur,2016-10-12,2016-11-17,,Warning letter,N,"478.102(a), 478.126a, 18 USC 923(g)(5)(A)",https://atf-inspection-reports.s3.amazonaws.com/781025-2017-0033-B1B.pdf
775045-2017-0163-B1B,4-61-107-01-7J-20709,Dealer,"Patterson, Michael C.",Top Guns,1300 South Main St,Madisonville,KY,42431,Hopkins,2016-12-02,2017-03-16,,Warning conference,Y,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.124(c)(5), 478.102(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/775045-2017-0163-B1B.pdf
778025-2017-0122-B1B,3-39-079-01-9M-04606,Dealer,"Govas, Michael George",Shorty's Shooting Sports,2192 S 60th Street,West Allis,WI,53219,Milwaukee,2016-10-03,2017-05-04,,Warning letter,N,"478.21(a), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(3)(iii), 478.124(c)(3)(iv), 478.124(c)(5), 478.125(e), 478.126a",https://atf-inspection-reports.s3.amazonaws.com/778025-2017-0122-B1B.pdf
776055-2017-0199-B1B,1-62-165-02-9C-04425,Pawnbroker,Gallatin Pawn & Gun Inc,,330 South Water Ave,Gallatin,TN,37066,Sumner,2017-03-10,2017-06-30,,Warning letter,N,"478.124(c)(1), 478.21(a), 478.124(c)(3)(i), 478.124(c)(3)(iv), 478.126a, 478.124(c)(4)",https://atf-inspection-reports.s3.amazonaws.com/776055-2017-0199-B1B.pdf
775060-2017-0156-B1B,4-55-039-01-7F-01562,Dealer,"Armstrong, Aaron Travis",Armstrong Guns,120 Morningside Drive,Elkview,WV,25071,Kanawha,2017-06-23,2017-06-05,,Warning letter,N,"478.52(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/775060-2017-0156-B1B.pdf
785050-2017-0119-B1B,9-86-013-02-8C-03320,Pawnbroker,"Hawkins Desert Pawn, LLC",Hawkins Desert Pawn,6333 N. 59th Ave.,Glendale,AZ,85301,Maricopa,2017-01-26,2017-03-20,,Warning letter,N,478.39a,https://atf-inspection-reports.s3.amazonaws.com/785050-2017-0119-B1B.pdf
782110-2016-0227-B1B,5-74-061-02-8L-00193,Pawnbroker,"Rio Grande Pawn, Inc",Amigo Pawn & Jewelry,1122 North Business 77,Harlingen,TX,78550,Cameron,2016-03-04,2016-04-19,,Warning letter,N,"478.21(a), 478.99(c), 478.124(c)(1), 478.124(c)(3)(i), 478.124(c)(4), 478.124(c)(5), 478.131(a)(2), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/782110-2016-0227-B1B.pdf
772060-2016-0478-B1B,3-36-161-01-7F-03148,Dealer,"Lohman, David John",,29616 150th Ave N,Hillsdale,IL,61257,Rock Island,2016-05-18,2016-08-17,,Warning letter,N,"478.21(a), 478.126a, 478.102(a), 478.125(e)",https://atf-inspection-reports.s3.amazonaws.com/772060-2016-0478-B1B.pdf
779055-2017-0372-B1B,5-43-221-01-7G-08936,Dealer,J&S Hvac Supply LLC,Midway Firearms,516 Veterans Dr,Mineral Point,MO,63660,Washington,2017-05-11,2017-06-01,,Warning letter,N,"478.125(e), 478.124(c)(3)(iv)",https://atf-inspection-reports.s3.amazonaws.com/779055-2017-0372-B1B.pdf
762055-2016-0316-B1B,6-03-007-01-7D-05408,Dealer,James V. Dattilio,Dattilio's Guns & Ammo,794 Shelburne Road,So. Burlington,VT,05403,Chittenden,2016-07-31,2016-12-02,,Warning letter,N,"[MISSING], [MISSING], [MISSING], [MISSING], [MISSING], [MISSING], [MISSING], [MISSING]",https://atf-inspection-reports.s3.amazonaws.com/762055-2016-0316-B1B.pdf
